"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"16030","51.3242631406","12.2744415852","Zerr-Eiche","Quercus cerris","Quercus","Kiewer Straße",2020,4,"Grünau-Nord","47552",100,"300","3"
"82131","51.3069903331","12.2928784341","Eberesche","Sorbus aucuparia","Sorbus","WG Neubauernsiedlung-Grünverbindung zwischen Rapsweg und Neubauernstraße (3.BA)",2012,12,"Großzschocher","G25823",70,"270","5"
"id-60283","51.3274845622","12.2780383124","Stiel-Eiche","Quercus robur","Quercus","Lyoner Straße",2019,5,"Schönau","76341",100,"400","4"
"5337","51.3071726259","12.2945628716","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Rapsweg",2022,2,"Großzschocher","118826",150,"150","1"
"15806","51.3194654514","12.2842833889","Stiel-Eiche","Quercus robur","Quercus","Heilbronner Straße",2023,1,"Grünau-Mitte","125970",100,"300","3"
"id-8970","51.3272755745","12.3456710325","Hopfenbuche","Ostrya carpinifolia","Ostrya","Könneritzstraße",2016,8,"Schleußig","39570",30,"30","1"
"97038","51.3253870059","12.2898145986","Stiel-Eiche","Quercus robur","Quercus","WG Grünau WK 5.1-Garskestraße/Lützner Straße/Schönauer Straße",2020,4,"Schönau","68683",100,"100","1"
"id-56530","51.3439110737","12.3747212723","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Richard-Wagner-Straße",2013,11,"Zentrum","73388",50,"200","4"
"id-7975","51.3197368356","12.3413807448","Baumhasel","Corylus colurna","Corylus","Könneritzstraße",1985,39,"Schleußig","39430",27,"27","1"
"16759","51.3404686443","12.3149520318","Brabanter Silber-Linde","Tilia tomentosa 'Brabant'","Tilia","Merseburger Straße",2024,0,"Altlindenau","43719",30,"180","6"
"id-57764","51.3777665465","12.4464382742","Scharlach-Eiche","Quercus coccinea","Quercus","Eichbergstraße",2013,11,"Thekla","73463",200,"200","1"
"id-60109","51.31293395","12.2887082157","Platane","Platanus x acerifolia","Platanus","Ratzelstraße",2019,5,"Grünau-Siedlung","76225",100,"400","4"
"5871","51.267447379","12.2912010865","Säulen-Ahorn","Acer platanoides 'Columnare'","Acer","Holunderweg",2016,8,"Knautkleeberg-Knauthain","75046",30,"30","1"
"id-22223","51.3242526352","12.3806846799","Platane","Platanus x acerifolia","Platanus","Lößniger Straße",2001,23,"Südvorstadt","31236",10,"20","2"
"11880","51.3221545213","12.321261415","Süßkirsche 'Burlat'","Prunus avium 'Burlat'","Prunus","Gleis-Grün-Zug Bahnhof Plagwitz",2016,8,"Plagwitz","G42183",150,"550","5"
"102045","51.3226704038","12.3210954064","Haus-Apfel 'Rote Sternrenette'","Malus domestica 'Rote Sternrenette'","Malus","Gleis-Grün-Zug Bahnhof Plagwitz",2016,8,"Plagwitz","G42212",150,"550","5"
"id-10980","51.3390910741","12.2991595217","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Schomburgkstraße",2021,3,"Neulindenau","45752",100,"100","1"
"1655","51.3196646255","12.2775624979","Zerr-Eiche","Quercus cerris","Quercus","Kiewer Straße",2020,4,"Schönau","47435",150,"450","4"
"3314","51.3251780739","12.2740532648","Zerr-Eiche","Quercus cerris","Quercus","Kiewer Straße",2021,3,"Grünau-Nord","47563",100,"500","5"
"id-30305","51.3325866404","12.4063924881","Kegelförmiger Spitz-Ahorn","Acer platanoides 'Emerald Queen'","Acer","Riebeckstraße",1996,28,"Reudnitz-Thonberg","22126",40,"70","2"
"id-59422","51.3348968745","12.3351950099","Amberbaum","Liquidambar styraciflua","Liquidambar","Siemeringstraße",2017,7,"Lindenau","75078",80,"1040","14"
"id-30217","51.3483919076","12.4014659646","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Schulze-Delitzsch-Straße",2014,10,"Neustadt-Neuschönefeld","8060",50,"400","18"
"90382","51.3248423385","12.2905831352","Stiel-Eiche","Quercus robur","Quercus","WG Grünau WK 5.1-Garskestraße/Lützner Straße/Schönauer Straße",2020,4,"Schönau","78028",100,"200","2"
"id-55860","51.3431187401","12.3173792867","Winter-Linde 'Rancho'","Tilia cordata 'Rancho'","Tilia","Rosenmüllerstraße",2011,13,"Leutzsch","71506",25,"25","1"
"3266","51.3239139588","12.2923895534","Ess-Kastanie","Castanea sativa","Castanea","Parkplatz 6104",2021,3,"Grünau-Ost","53307",150,"150","1"
"16614","51.3675570594","12.3719495314","Hopfenbuche","Ostrya carpinifolia","Ostrya","Corinthstraße",2024,0,"Gohlis-Mitte","133797",50,"525","20"
"90159","51.3291532967","12.3082558795","Schwedische Mehlbeere","Sorbus intermedia","Sorbus","Lindenauer Hafen",2015,9,"Schönau","G20512",50,"50","1"
"15804","51.3201656826","12.2839705653","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Heilbronner Straße",2023,1,"Grünau-Mitte","125968",100,"300","3"
"90276","51.3257770582","12.2783536536","Hänge-Buche","Fagus sylvatica 'Pendula'","Fagus","Schönauer Viertel, nördlich Weimarer Straße",2016,8,"Schönau","G46013",15,"30","2"
"3530","51.3192833977","12.2843618836","Brabanter Silber-Linde","Tilia tomentosa 'Brabant'","Tilia","Heilbronner Straße",2022,2,"Grünau-Mitte","87272",100,"300","3"
