"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"1","51.3523246327","12.3767155431","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Eutritzscher Straße",2020,4,"Zentrum-Nord","2260",300,"1200","4"
"10","51.3976909673","12.4631477197","Apfel 'Carola'","Malus domestica 'Carola'","Malus","Merkwitzer Landstraße",2020,4,"Plaußig-Portitz","14710",300,"1200","4"
"100","51.4022652177","12.4679853693","Haus-Apfel  'Ontario'","Malus domestica 'Ontario'","Malus","Merkwitzer Landstraße",2020,4,"Plaußig-Portitz","14888",300,"1200","4"
"100012","51.3147119142","12.4043465384","Spitz-Ahorn","Acer platanoides","Acer","Wilhelm-Külz-Park",2018,6,"Probstheida","G47823",300,"1200","4"
"100864","51.3374927316","12.3902916048","Japanischer Schnurbaum","Sophora japonica","Sophora","Alter Johannisfriedhof",2015,9,"Zentrum-Südost","G21125",300,"900","3"
"100865","51.3373430858","12.3905625863","Feld-Ahorn","Acer campestre","Acer","Alter Johannisfriedhof",2020,4,"Zentrum-Südost","G21129",300,"900","3"
"100866","51.3373401332","12.3907367826","Eingriffliger Weißdorn","Crataegus monogyna","Crataegus","Alter Johannisfriedhof",2015,9,"Zentrum-Südost","G21131",300,"900","3"
"100910","51.3283520307","12.3958713499","Gemeine Esche","Fraxinus excelsior","Fraxinus","Friedenspark (Neuer Johannisfriedhof)",2015,9,"Zentrum-Südost","G3453",300,"900","3"
"101","51.4023289524","12.4680712849","Haus-Apfel  'Ontario'","Malus domestica 'Ontario'","Malus","Merkwitzer Landstraße",2020,4,"Plaußig-Portitz","14889",300,"1200","4"
"10110","51.3588856374","12.3604779024","Vogel-Kirsche","Prunus avium","Prunus","Weinlig-/Marbachstraße",2018,6,"Gohlis-Süd","G34839",300,"1200","4"
"10111","51.3590845511","12.3607997458","Kornelkirsche","Cornus mas","Cornus","Weinlig-/Marbachstraße",2018,6,"Gohlis-Süd","G34865",300,"1500","5"
"10112","51.3590545857","12.3607511892","Blumen-Esche","Fraxinus ornus","Fraxinus","Weinlig-/Marbachstraße",2018,6,"Gohlis-Süd","G34868",300,"1500","5"
"101277","51.3292805175","12.3496909838","Holländische Linde","Tilia x vulgaris","Tilia","Clara-Zetkin-Park (mit Scheibenholz)",2020,4,"Schleußig","37826",300,"1200","4"
"101307","51.3452036775","12.3544143113","Robinie","Robinia pseudoacacia","Robinia","Max-Planck-/Friedrich-Ebert-Straße",2019,5,"Zentrum-Nordwest","N78246",300,"600","2"
"101308","51.3451930328","12.3540818779","Robinie","Robinia pseudoacacia","Robinia","Max-Planck-/Friedrich-Ebert-Straße",2019,5,"Zentrum-Nordwest","N78251",300,"600","2"
"101310","51.335926574","12.3741381112","Ulme","Ulmus species","Ulmus","Promenadenring, Martin-Luther-Ring/Neues Rathaus (Haupteingang)",2015,9,"Zentrum","G4430",300,"1200","4"
"101338","51.3424335671","12.3645805","Kornelkirsche","Cornus mas","Cornus","Quartiersplatz Thomasiusstraße (Elstermühlgraben TBA 3.1)",2019,5,"Zentrum-West","G35445",300,"900","3"
"10147","51.3717239132","12.3418753153","Hainbuche","Carpinus betulus","Carpinus","WG Möckern-Yorck-/Slevogtstraße",2018,6,"Möckern","G48174",300,"1200","4"
"10148","51.3533757222","12.4555019796","Baumhasel","Corylus colurna","Corylus","WG Paunsdorf-Haselstraße",2015,9,"Paunsdorf","G29422",300,"900","3"
