"id","lat","lng","artdtsch","artbot","gattungdeutsch","strname","pflanzjahr","standalter","bezirk","standortnr","wassermenge","wassersumme","anzahlg"
"id-28473","51.334202613635682","12.401927868939756","Gefülltblühende Rosskastanie","Aesculus hippocastanum 'Baumannii'","Aesculus","Reichpietschstraße",1999,22,"Reudnitz-Thonberg","22203",10,130,15
"id-28474","51.334180118949853","12.402069273118764","Berg-Ahorn","Acer pseudoplatanus","Acer","Reichpietschstraße",1960,61,"Reudnitz-Thonberg","22204",10,160,19
"id-19602","51.307059992942186","12.382290844152289","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Meusdorfer Straße",2006,15,"Connewitz","33561",10,310,32
"id-56537","51.343905508192023","12.374966443589610","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Richard-Wagner-Straße",2013,8,"Zentrum","73387",10,50,5
"id-59411","51.334671468583117","12.336530180439476","Woll-Apfel","Malus tschonoskii","Malus","Birkenstraße",2018,3,"Lindenau","75278",10,10,1
"id-12674","51.338080369565937","12.333229476902170","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Rietschelstraße",2001,20,"Altlindenau","54835",10,50,5
"id-10551","51.346046884446970","12.320077818374626","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","William-Zipperer-Straße",2007,14,"Leutzsch","54826",10,10,1
"id-19446","51.307141126140920","12.371440384779985","Feld-Ahorn 'Elsrijk'","Acer campestre 'Elsrijk'","Acer","Mathildenstraße",2007,14,"Connewitz","41627",25,40,4
"id-9038","51.327745596406125","12.345365230180434","Linde","Tilia species","Tilia","Holbeinstraße",1905,116,"Schleußig","40598",50,100,2
"id-8724","51.322751518768385","12.340511294909504","Straßen-Robinie","Robinia pseudoacacia 'Monophylla'","Robinia","Brockhausstraße",2005,16,"Schleußig","40787",10,10,1
"id-23494","51.329015066759460","12.403087909854760","Baumhasel","Corylus colurna","Corylus","Kröbelstraße",1990,31,"Reudnitz-Thonberg","22601",5,20,4
"id-22789","51.325388461399271","12.389568883435800","Stadt-Linde","Tilia cordata 'Greenspire'","Tilia","Straße des 18. Oktober",2006,15,"Zentrum-Südost","30322",5,5,1
"id-12244","51.357268308188885","12.301950766062260","Säulen-Hainbuche 'Frans Fontaine'","Carpinus betulus 'Frans Fontaine'","Carpinus","Zusestraße",2004,17,"Böhlitz-Ehrenberg","58462",25,25,1
"id-47626","51.373274870832113","12.411030715708980","Chinesische Wildbirne 'Chanticleer'","Pyrus calleryana 'Chanticleer'","Pyrus","Mockauer Straße",2013,8,"Mockau-Süd","10388",50,95,4
"id-36088","51.370596533937878","12.408662954971847","Kaiser-Linde","Tilia x vulgaris 'Pallida'","Tilia","Gontardweg",2013,8,"Mockau-Süd","2110",50,490,32
"id-29322","51.349900495583697","12.372585449227197","Platane","Platanus x acerifolia","Platanus","Pfaffendorfer Straße",2012,9,"Zentrum-Nord","13161",50,85,3
